# Time(s) Range(km)  Vel.(km/s)
 500.256 915.162428 4.574458
 501.379 920.201351 4.610840
 502.502 925.279486 4.646618
 503.539 930.396923 4.681805
 504.662 935.552645 4.716409
 505.786 940.745633 4.750433
 506.822 945.976407 4.783896
 507.946 951.242814 4.816794
 509.069 956.545401 4.849145
 510.192 961.883183 4.880954
 511.229 967.255176 4.912226
 512.352 972.661586 4.942976
 513.475 978.101449 4.973209
 514.512 983.574203 5.002934
 515.635 989.078889 5.032155
 516.758 994.616177 5.060889
 517.795 1000.183908 5.089135
 518.918 1005.782365 5.116905
 520.042 1011.411857 5.144210
 521.165 1017.070224 5.171051
 522.202 1022.758207 5.197441
 523.325 1028.474480 5.223385
 524.448 1034.219818 5.248895
 525.485 1039.992063 5.273972
 526.608 1045.792012 5.298628
 527.731 1051.618784 5.322869
 528.768 1057.471498 5.346701
 529.891 1063.350569 5.370133
 531.014 1069.255132 5.393172
 532.138 1075.184760 5.415824
 533.174 1081.138594 5.438095
 534.298 1087.117534 5.459995
 535.421 1093.119420 5.481526
 536.458 1099.145172 5.502699
 537.581 1105.193959 5.523518
 538.704 1111.264951 5.543988
 539.741 1117.358660 5.564118
 540.864 1123.474271 5.583914
 541.987 1129.611420 5.603381
 543.024 1135.769297 5.622523
 544.147 1141.948454 5.641350
 545.270 1148.148096 5.659865
 546.394 1154.367426 5.678074
 547.430 1160.607026 5.695983
 548.554 1166.866113 5.713597
 549.677 1173.144366 5.730922
 550.714 1179.441008 5.747962
 551.837 1185.757119 5.764725
 552.960 1192.090541 5.781211
 553.997 1198.441902 5.797429
 555.120 1204.811845 5.813385
 556.243 1211.198215 5.829079
 557.366 1217.602132 5.844519
 558.403 1224.022852 5.859709
 559.526 1230.460103 5.874654
 560.650 1236.913144 5.889357
 561.686 1243.382660 5.903824
 562.810 1249.867921 5.918058
 563.933 1256.368196 5.932064
 564.970 1262.884191 5.945846
 566.093 1269.415186 5.959408
 567.216 1275.960942 5.972754
 568.339 1282.520742 5.985886
 569.376 1289.095800 5.998812
 570.499 1295.683961 6.011532
 571.622 1302.286450 6.024051
 572.659 1308.902566 6.036373
 573.782 1315.531608 6.048500
 574.906 1322.174337 6.060438
 575.942 1328.830061 6.072188
 577.066 1335.498575 6.083755
 578.189 1342.179190 6.095140
 579.312 1348.873181 6.106349
 580.349 1355.578390 6.117383
 581.472 1362.295611 6.128246
 582.595 1369.025150 6.138941
 583.632 1375.766333 6.149472
 584.755 1382.518980 6.159840
 585.878 1389.282418 6.170047
 586.915 1396.057964 6.180100
 588.038 1402.843458 6.189997
 589.162 1409.639728 6.199743
 590.285 1416.447607 6.209342
 591.322 1423.264937 6.218794
 592.445 1430.093059 6.228102
 593.568 1436.931315 6.237270
 594.605 1443.779554 6.246299
 595.728 1450.637121 6.255191
 596.851 1457.505377 6.263950
 597.888 1464.382162 6.272577
 599.011 1471.268340 6.281074
 600.134 1478.164782 6.289445
 601.258 1485.069326 6.297689
 602.294 1491.983356 6.305812
 603.418 1498.905722 6.313813
 604.541 1505.837818 6.321696
 605.578 1512.777481 6.329461
 606.701 1519.726110 6.337112
 607.824 1526.683070 6.344650
 608.861 1533.647728 6.352076
 609.984 1540.620985 6.359393
 611.107 1547.602211 6.366603
 612.144 1554.591289 6.373707
 613.267 1561.587591 6.380707
 614.390 1568.592543 6.387605
 615.514 1575.603980 6.394401
 616.550 1582.622820 6.401099
 617.674 1589.649984 6.407700
 618.797 1596.683307 6.414205
 619.834 1603.724230 6.420615
 620.957 1610.772136 6.426933
 622.080 1617.826923 6.433160
 623.117 1624.887974 6.439296
 624.240 1631.955708 6.445344
 625.363 1639.031068 6.451306
